Flight No.,Launch site,Payload,Payload mass,Orbit,Customer,Launch outcome,Version Booster,Booster landing,Date,Time
1,CCAFS,Dragon Spacecraft Qualification Unit,0,LEO,SpaceX,"Success
",F9 v1.0B0003.1,Failure,4 June 2010,18:45
2,CCAFS,Dragon,0,LEO,NASA,Success,F9 v1.0B0003.1,Failure,4 June 2010,18:45
3,CCAFS,Dragon,525 kg,LEO,NASA,Success,F9 v1.0B0004.1,"Not attempted
",8 December 2010,15:43
4,CCAFS,SpaceX CRS-1,"4,700 kg",LEO,NASA,"Success
",F9 v1.0B0005.1,No attempt,22 May 2012,07:44
5,CCAFS,SpaceX CRS-2,"4,877 kg",LEO,NASA,"Success
",F9 v1.0B0006.1,"Not attempted
",8 October 2012,00:35
6,VAFB,CASSIOPE,500 kg,Polar orbit,MDA,Success,F9 v1.0B0007.1,Uncontrolled,1 March 2013,15:10
7,CCAFS,SES-8,"3,170 kg",GTO,SES,Success,F9 v1.1B1003,Not attempted,29 September 2013,16:00
8,CCAFS,Thaicom 6,"3,325 kg",GTO,Thaicom,Success,F9 v1.1,Not attempted,3 December 2013,22:41
9,Cape Canaveral,SpaceX CRS-3,"2,296 kg",LEO,NASA,"Success
",F9 v1.1,Controlled,6 January 2014,22:06
10,Cape Canaveral,Orbcomm-OG2,"1,316 kg",LEO,Orbcomm,Success,F9 v1.1,Controlled,18 April 2014,19:25
11,Cape Canaveral,AsiaSat 8,"4,535 kg",GTO,AsiaSat,Success,F9 v1.1,Not attempted,14 July 2014,15:15
12,Cape Canaveral,AsiaSat 6,"4,428 kg",GTO,AsiaSat,Success,F9 v1.1,"Not attempted
",5 August 2014,08:00
13,Cape Canaveral,SpaceX CRS-4,"2,216 kg",LEO,NASA,Success,F9 v1.1,Uncontrolled,7 September 2014,05:00
14,Cape Canaveral,SpaceX CRS-5,"2,395 kg",LEO,NASA,Success,F9 v1.1,Failure ,21 September 2014,05:52
15,Cape Canaveral,DSCOVR,570 kg,HEO,USAF,"Success
",F9 v1.1,Controlled,10 January 2015,09:47
16,Cape Canaveral,ABS-3A,"4,159 kg",GTO,ABS,"Success
",F9 v1.1,Not attempted,11 February 2015,23:03
17,Cape Canaveral,SpaceX CRS-6,"1,898 kg",LEO,NASA,"Success
",F9 v1.1,Failure,2 March 2015,03:50
18,Cape Canaveral,TürkmenÄlem 52°E / MonacoSAT,"4,707 kg",GTO,,"Success
",F9 v1.1,Not attempted,14 April 2015,20:10
19,Cape Canaveral,SpaceX CRS-7,"1,952 kg",LEO,NASA,Failure,F9 v1.1,Precluded,27 April 2015,23:03
20,Cape Canaveral,Orbcomm-OG2,"2,034 kg",LEO,Orbcomm,"Success
",F9 v1.1,Success,28 June 2015,14:21
21,VAFB,Jason-3,553 kg,LEO,NASA,"Success
",F9 FT,Failure,22 December 2015,01:29
22,Cape Canaveral,SES-9,"5,271 kg",GTO,SES,"Success
",F9 v1.1,Failure,17 January 2016,18:42
23,Cape Canaveral,SpaceX CRS-8,"3,136 kg",LEO,NASA,Success,F9 FT,Success,4 March 2016,23:35
24,Cape Canaveral,JCSAT-14,"4,696 kg",GTO,SKY Perfect JSAT Group,"Success
",F9 FT,Success,8 April 2016,20:43
25,Cape Canaveral,Thaicom 8,"3,100 kg",GTO,Thaicom,"Success
",F9 FT,Success,6 May 2016,05:21
26,Cape Canaveral,ABS-2A,"3,600 kg",GTO,ABS,"Success
",F9 FT,Failure,27 May 2016,21:39
27,Cape Canaveral,SpaceX CRS-9,"2,257 kg",LEO,NASA,"Success
",F9 FT,Success,15 June 2016,14:29
28,Cape Canaveral,JCSAT-16,"4,600 kg",GTO,SKY Perfect JSAT Group,"Success
",F9 FT,Success,18 July 2016,04:45
29,VAFB,Iridium NEXT,"9,600 kg",Polar,Iridium Communications,"Success
",F9 FT,Success,14 August 2016,05:26
30,KSC,SpaceX CRS-10,"2,490 kg",LEO,NASA,"Success
",F9 FT,Success,14 January 2017,17:54
31,KSC,EchoStar 23,"5,600 kg",GTO,EchoStar,"Success
",F9 FT,Not attempted,19 February 2017,14:39
32,KSC,SES-10,"5,300 kg",GTO,SES,Success,F9 FT,Success,16 March 2017,06:00
33,KSC,NROL-76,C,LEO,NRO,"Success
",F9 FT♺,Success,30 March 2017,22:27
34,KSC,Inmarsat-5 F4,"6,070 kg",GTO,Inmarsat,"Success
",F9 FT,Not attempted,1 May 2017,11:15
35,KSC,SpaceX CRS-11,"2,708 kg",LEO,NASA,"Success
",F9 FT,Success,15 May 2017,23:21
36,KSC,BulgariaSat-1,"3,669 kg",GTO,Bulsatcom,"Success
",F9 FT,Success,3 June 2017,21:07
